;OS;Count;Count_sp;signalHsmm;signalP;diff
3268;Oryza sativa subsp. japonica (Rice).;8887;431;0,954535776;0,956350273;-0,001814497
1069;Clavispora lusitaniae (strain ATCC 42720) (Yeast) (Candida lusitaniae).;182;3;0,998137803;1;-0,001862197
4817;Trypanosoma brucei brucei.;443;8;0,809482759;0,811350575;-0,001867816
2697;Medicago truncatula (Barrel medic) (Medicago tribuloides).;223;9;0,997923157;1;-0,002076843
1083;Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus).;54;9;0,997530864;1;-0,002469136
575;Bos taurus (Bovine).;17247;904;0,951877519;0,954630484;-0,002752965
197;Anguilla japonica (Japanese eel).;59;17;0,99719888;1;-0,00280112
66;Agaricus bisporus (White button mushroom).;71;9;0,996415771;1;-0,003584229
1689;Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans).;2538;116;0,956700789;0,960381133;-0,003680344
1173;Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata).;265;4;0,996168582;1;-0,003831418
356;Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis).;171;52;0,986425339;0,990384615;-0,003959276
252;Antirrhinum majus (Garden snapdragon).;194;3;0,993019197;0,997382199;-0,004363002
4770;Trichophyton verrucosum (strain HKI 0517).;88;50;0,995263158;1;-0,004736842
2306;Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) (Bicoloured deceiver) (Laccaria laccata var. bicolor).;205;1;0,995098039;1;-0,004901961
4142;Saimiri boliviensis boliviensis (Bolivian squirrel monkey).;131;17;0,990712074;0,995614035;-0,004901961
3073;Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus).;612;82;0,975448688;0,980763921;-0,005315232
4031;Rhinolophus ferrumequinum (Greater horseshoe bat).;78;5;0,994520548;1;-0,005479452
2141;Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis).;76;5;0,994366197;1;-0,005633803
744;Candida albicans (strain WO-1) (Yeast).;323;13;0,961538462;0,967741935;-0,006203474
649;Bubalus bubalis (Domestic water buffalo).;52;20;0,96875;0,975;-0,00625
2235;Ictalurus punctatus (Channel catfish) (Silurus punctatus).;162;10;0,993421053;1;-0,006578947
4109;Saccharomyces cerevisiae (strain YJM789) (Baker's yeast).;1232;25;0,912410936;0,91958575;-0,007174814
789;Capsicum annuum (Bell pepper).;138;1;0,99270073;1;-0,00729927
3668;Pisum sativum (Garden pea).;935;30;0,942799263;0,950736648;-0,007937385
517;Beta vulgaris (Sugar beet).;129;4;0,992;1;-0,008
3866;Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis).;113;32;0,991898148;1;-0,008101852
4214;Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast).;123;2;0,987603306;0,995867769;-0,008264463
3070;Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / FGSC A1164 / NRRL 181) (Aspergillus fischerianus).;1207;81;0,978477293;0,986766222;-0,008288928
4905;Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294) (Kluyveromyces polysporus).;871;10;0,940301974;0,94883856;-0,008536585
2003;Glycine max (Soybean) (Glycine hispida).;909;33;0,978933167;0,988013699;-0,009080531
4419;Sparus aurata (Gilthead sea bream).;70;11;0,990755008;1;-0,009244992
263;Aotus nancymaae (Ma's night monkey).;64;14;0,98;0,99;-0,01
4570;Takifugu rubripes (Japanese pufferfish) (Fugu rubripes).;497;27;0,967060678;0,977226162;-0,010165485
3372;Paracoccidioides brasiliensis (strain Pb03).;85;9;0,988304094;1;-0,011695906
1282;Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans).;1482;6;0,986901536;0,998644986;-0,011743451
3106;Nicotiana tabacum (Common tobacco).;974;34;0,972340426;0,984230288;-0,011889862
1283;Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans).;1511;6;0,986378738;0,99833887;-0,011960133
2590;Macaca mulatta (Rhesus macaque).;682;107;0,960942706;0,973157253;-0,012214547
2200;Hylobates lar (Common gibbon) (White-handed gibbon).;216;15;0,888225539;0,900497512;-0,012271973
89;Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum).;103;4;0,987373737;1;-0,012626263
3212;Onchocerca volvulus.;233;7;0,987357775;1;-0,012642225
3373;Paracoccidioides brasiliensis (strain Pb18).;105;8;0,987113402;1;-0,012886598
4208;Schistosoma japonicum (Blood fluke).;107;14;0,98156682;0,994623656;-0,013056836
4003;Rattus norvegicus (Rat).;22373;1388;0,94020863;0,953380966;-0,013172336
3453;Penicillium chrysogenum (Penicillium notatum).;77;4;0,98630137;1;-0,01369863
1035;Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis).;74;2;0,986111111;1;-0,013888889
4140;Saguinus oedipus (Cotton-top tamarin).;71;19;0,98582996;1;-0,01417004
410;Aspergillus terreus (strain NIH 2624 / FGSC A1156).;1123;4;0,964998841;0,979253085;-0,014254245
88;Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum).;130;8;0,985655738;1;-0,014344262
1968;Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) (Wheat head blight fungus) (Fusarium graminearum).;878;9;0,983122363;0,999424626;-0,016302263
3130;Notophthalmus viridescens (Eastern newt) (Triturus viridescens).;62;1;0,983606557;1;-0,016393443
3454;Penicillium chrysogenum (strain ATCC 28089 / DSM 1075 / Wisconsin 54-1255) (Penicillium notatum).;179;13;0,980537535;0,996987952;-0,016450417
621;Branchiostoma floridae (Florida lancelet) (Amphioxus).;259;2;0,655642023;0,672178988;-0,016536965
4892;Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus).;1358;9;0,904950169;0,922205749;-0,01725558
401;Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold).;1622;113;0,96326466;0,981638194;-0,018373535
2103;Heliothis virescens (Tobacco budworm moth).;86;6;0,98125;1;-0,01875
2936;Mus musculus (Mouse).;48910;10;0,930983649;0,949813282;-0,018829633
4209;Schistosoma mansoni (Blood fluke).;222;8;0,879672897;0,900116822;-0,020443925
400;Aspergillus niger (strain CBS 513.88 / FGSC A1513).;1140;62;0,967377874;0,988372093;-0,020994219
3557;Phaseolus vulgaris (Kidney bean) (French bean).;244;21;0,928037583;0,9501388;-0,022101217
4107;Saccharomyces cerevisiae (strain RM11-1a) (Baker's yeast).;480;13;0,860813704;0,883544721;-0,022731016
4227;Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum).;674;8;0,975975976;0,999249249;-0,023273273
4861;Uncinocarpus reesii (strain UAMH 1704).;137;14;0,970963995;0,995934959;-0,024970964
1997;Gloydius halys (Chinese water mocassin) (Agkistrodon halys).;146;11;0,974410774;1;-0,025589226
3072;Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus).;2080;127;0,953485653;0,979290895;-0,025805242
743;Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast).;2962;152;0,930059468;0,956337797;-0,026278329
2296;Komagataella pastoris (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris).;200;6;0,970790378;0,99742268;-0,026632302
4149;Salmo salar (Atlantic salmon).;589;20;0,938400703;0,96572935;-0,027328647
3228;Ophiophagus hannah (King cobra) (Naja hannah).;63;39;0,959401709;0,987179487;-0,027777778
4521;Sus scrofa (Pig).;3025;341;0,94113373;0,968943801;-0,02781007
626;Brassica napus (Rape).;638;17;0,942123709;0,970588235;-0,028464526
745;Candida albicans (Yeast).;431;25;0,968669951;0,997536946;-0,028866995
3465;Penicillium marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333).;150;1;0,970950704;1;-0,029049296
3310;Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan).;54;16;0,970394737;1;-0,029605263
4712;Toxoplasma gondii.;153;16;0,813868613;0,84375;-0,029881387
3355;Pan troglodytes (Chimpanzee).;1649;1;0,912172439;0,942570035;-0,030397596
1082;Coccidioides posadasii (strain C735) (Valley fever fungus).;148;35;0,968900126;1;-0,031099874
4105;Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) (Baker's yeast).;380;9;0,91015274;0,944444444;-0,034291704
4573;Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum).;162;6;0,96474359;1;-0,03525641
2743;Mesocricetus auratus (Golden hamster).;707;50;0,959695586;0,996194825;-0,036499239
3267;Oryza sativa subsp. indica (Rice).;1800;42;0,932004713;0,969080124;-0,03707541
91;Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum).;393;7;0,9607698;0,998704663;-0,037934863
795;Carassius auratus (Goldfish).;424;25;0,866365915;0,90481203;-0,038446115
3362;Papio hamadryas (Hamadryas baboon).;152;21;0,772446383;0,812068339;-0,039621956
