OS;Count;signalHsmm;signalP;diff;sp_count
Pyrenophora tritici-repentis (strain Pt-1C-BFP) (Wheat tan spot fungus) (Drechslera tritici-repentis).;186;0,950842697;0,934691011;0,016151685;8
Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1).;1154;0,977507806;0,962919594;0,014588212;56
Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).;16831;0,926535019;0,912717022;0,013817997;311
Crotalus adamanteus (Eastern diamondback rattlesnake).;79;0,974358974;0,961538462;0,012820513;39
Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii).;6965;0,945838892;0,934651133;0,011187759;235
Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm).;305;0,995543672;0,984848485;0,010695187;33
Limulus polyphemus (Atlantic horseshoe crab).;56;1;0,990196078;0,009803922;5
Aotus trivirgatus (Three-striped night monkey) (Douroucouli).;55;0,946808511;0,9375;0,009308511;8
Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite).;744;0,96299794;0,954326923;0,008671016;16
Lithobates catesbeiana (American bullfrog) (Rana catesbeiana).;197;0,981963335;0,973684211;0,008279125;19
Ipomoea batatas (Sweet potato) (Convolvulus batatas).;83;1;0,993243243;0,006756757;9
Solanum lycopersicum (Tomato) (Lycopersicon esculentum).;1016;0,960865088;0,954525689;0,006339398;45
Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841) (Yeast).;246;0,966804979;0,960580913;0,006224066;5
Papio anubis (Olive baboon).;162;0,985205314;0,979166667;0,006038647;24
Oryzias latipes (Japanese rice fish) (Japanese killifish).;325;0,963510848;0,958333333;0,005177515;13
Bombyx mori (Silk moth).;459;0,996839357;0,99211557;0,004723787;76
Drosophila sechellia (Fruit fly).;776;0,981914637;0,977272727;0,00464191;22
Podospora anserina (Pleurage anserina).;120;1;0,995726496;0,004273504;3
Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes).;95;0,994545455;0,990909091;0,003636364;55
Euglena gracilis.;300;1;0,996655518;0,003344482;1
Callithrix jacchus (White-tufted-ear marmoset).;242;0,987853692;0,985714286;0,002139406;35
Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).;247;1;0,997942387;0,002057613;4
Nicotiana sylvestris (Wood tobacco) (South American tobacco).;262;1;0,998084291;0,001915709;1
Strongylocentrotus purpuratus (Purple sea urchin).;357;0,862012455;0,86086529;0,001147165;18
Nematostella vectensis (Starlet sea anemone).;552;0,999867233;0,999070632;0,000796601;14
Medicago sativa (Alfalfa).;130;0,996515679;0,995934959;0,00058072;7
Gallus gallus (Chicken).;6247;0,939827661;0,939390906;0,000436755;367
Acanthocheilonema viteae (Filarial nematode worm) (Dipetalonema viteae).;4;1;1;0;2
Acanthoscurria gomesiana (Tarantula spider) (Phormictopus pheopygus).;3;1;1;0;2
Acipenser baerii (Siberian sturgeon).;2;1;1;0;1
Acomys cahirinus (Cairo spiny mouse).;2;1;1;0;1
Acremonium chrysogenum (Cephalosporium acremonium).;46;1;1;0;1
Actinia equina (Beadlet anemone).;23;1;1;0;6
Actinidia chinensis (Kiwi) (Yangtao).;41;1;1;0;1
Actinidia deliciosa (Kiwi).;32;1;1;0;5
Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta).;27;1;1;0;1
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa).;2;1;1;0;1
Aepyceros melampus (Impala).;2;1;1;0;1
Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi).;3;1;1;0;2
Agkistrodon contortrix contortrix (Southern copperhead).;23;1;1;0;3
Agrocybe aegerita (Black poplar mushroom) (Agaricus aegerita).;4;1;1;0;1
Ajellomyces capsulatus (strain H88) (Darling's disease fungus) (Histoplasma capsulatum).;21;1;1;0;1
Allenopithecus nigroviridis (Allen's swamp monkey).;2;1;1;0;1
Alouatta seniculus (Red howler monkey).;6;1;1;0;1
Amaranthus caudatus (Love-lies-bleeding) (Inca-wheat).;2;1;1;0;1
Ambrosia artemisiifolia (Short ragweed).;9;1;1;0;6
Ambystoma mexicanum (Axolotl).;65;1;1;0;4
Ananas comosus (Pineapple) (Ananas ananas).;6;1;1;0;3
Ancylostoma caninum (Dog hookworm).;2;1;1;0;1
Androctonus australis (Sahara scorpion).;12;1;1;0;11
